waypointname,lat, long
ODIGI,551144N,0032539W
ODMIX,565812N,0012803E
ODMOS,544526N,0030252E
ODNEK,533437N,0001813W
ODPEX,592436N,0093000W
ODREP,500000N,0013007W
ODROB,513915N,0015445E
ODUKU,513532N,0001715E
ODVIK,510957N,0002909E
ODVOD,520756N,0000853E
OGAGI,492722N,0050157W
OGTUG,534012N,0050850W
OKESI,512636N,0020342W
OKNOB,552145N,0044942W
OKPAL,564921N,0020435W
OKTAD,514904N,0023246W
OKTEM,524310N,0031115W
OKVAP,505749N,0011956E
OLGUD,504356N,0013122W
OLNEY,520740N,0004403W
OLPOP,540532N,0023208W
OMOKO,485020N,0120000W
ORIST,500000N,0015042W
ORSUM,570307N,0051741W
ORTAC,495957N,0020018W
ORTAV,593000N,0100000W
ORVIK,593818N,0004009E
ORVUL,551039N,0041007W
ORVUX,503153N,0035107W
OSBON,610000N,0050000W
OSBOX,564823N,0124806W
OSDEB,505655N,0002448E
OSGIL,513520N,0050745W
OSKOT,522030N,0020330W
OSLEL,572858N,0013158W
OSMAP,495211N,0054229W
OSMEG,550826N,0040603W
OSNUG,505336N,0020014W
OSPOL,500900N,0001108W
OTBED,531717N,0000155E
OTBUN,551650N,0022600W
OTMET,504055N,0023053W
OTR,534154N,0000613W
OTSID,511023N,0001351W
OVDAN,575321N,0001818E
OXLOW,510155N,0020000W
PAAVO,515149N,0005116E
PAVLO,505605N,0055344W
PEDIG,524448N,0014310W
PELET,543912N,0032552E
PEMAK,492656N,0061305W
PEMOB,520838N,0050941W
PEMOS,610000N,0040000W
PENIL,533657N,0033949W
PENUN,570636N,0045011E
PENUX,510632N,0003412E
PEPEG,540106N,0043105W
PEPIN,595931N,0000054E
PEPIS,511148N,0011437W
PEPOD,541616N,0053409W
PEPUL,521603N,0015314W
PERUP,514234N,0025632W
PETIL,555620N,0050000E
PETOX,573333N,0014902W
PHILI,492831N,0070117W
PIBUX,513459N,0014657E
PIGOT,522943N,0010407W
PIKIL,560000N,0150000W
PIKOD,492438N,0051559W
PILIP,502003N,0010026W
PIPAR,560700N,0031206W
PIPEM,580923N,0034419W
PIPIN,523636N,0005630W
PIXAM,520447N,0015650E
PIXUP,520151N,0010640W
PLYMO,502045N,0043737W
POL,534438N,0020612W
POMAX,513138N,0020452W
POTON,520504N,0002538W
PTH,562633N,0032207W
PUFAX,521852N,0012042W
PUPJO,513059N,0020000W
RAMID,525728N,0023000E
RAMOX,533937N,0045022W
RAPIX,512638N,0020000E
RAPUM,545518N,0015258W
RATKA,493000N,0080000W
RATLO,515929N,0014055E
RATPU,565532N,0020659W
RATSU,610000N,0100000W
RAVDI,592957N,0012242W
RAVLO,525501N,0030854E
REDFA,520653N,0022917E
REGSI,525119N,0000151E
REKNA,561029N,0033000E
REMSI,535737N,0034932W
RESNO,550000N,0150000W
RETSI,523042N,0025233W
REXAM,530400N,0030937W
RIBEL,540058N,0021723W
RIGDI,501615N,0055929W
RIGVU,584736N,0020918E
RILES,515655N,0025522W
RIMOL,573233N,0040230W
RIMTO,534303N,0012559W
RIMUP,505149N,0004339W
RIMVU,534511N,0050825W
RINGA,542354N,0053416W
RINIS,515430N,0021921E
RINTI,510158N,0013656E
RIPNO,545632N,0034415W
RISDU,573631N,0014824W
RISIN,514139N,0012628W
RISLA,530151N,0025312W
RITSI,554209N,0013926W
RIVOT,562429N,0004637E
RIXUN,610000N,0030000W
ROBBO,555323N,0045437W
ROBEM,552733N,0010114W
ROBOP,542709N,0052005W
ROBVA,524804N,0025334W
RODEL,503000N,0150000W
RODOL,531417N,0015143W
RODSI,544756N,0025335E
ROGAG,531406N,0001745W
ROGBI,521747N,0012006W
ROKAN,533948N,0031120E
ROKKE,510412N,0000242E
ROKSI,503013N,0021251W
ROKUP,530102N,0013057W
ROLEX,532542N,0035804W
ROLUM,541820N,0031831E
ROPAL,550817N,0035643E
ROPMU,520614N,0002917E
ROSUN,534008N,0022057W
ROTEV,540144N,0060358W
ROTNO,505126N,0004641E
ROVNI,535313N,0003901E
ROXAT,532449N,0030000E
ROXOG,501558N,0013344W
RUBEX,551912N,0065607W
RUBMI,501646N,0021943W
RUDMO,504640N,0010127W
RUGER,532858N,0032652W
RUGID,572209N,0045355W
RULAV,532614N,0051001W
RUXIN,561655N,0120000W
SAB,555427N,0021223W
SABER,514214N,0005658E
SALCO,494414N,0033146W
SAM,505719N,0012042W
SAMON,511921N,0072504W
SANBA,530822N,0022003W
SANDY,510351N,0010403E
SAPCO,523225N,0012125W
SEMMU,524641N,0040222W
SETEL,540045N,0022609W
SFD,504538N,0000719E
SHAPP,543000N,0023738W
SIDDI,503107N,0035802W
SILVA,515051N,0010019W
SIREN,513415N,0015229W
SIRGO,513746N,0003847E
SITET,500600N,0000000E
SITKU,534436N,0044954W
SIVBU,532755N,0003444W
SIVDA,522122N,0000147E
SKERY,500000N,0031023W
SKESO,494929N,0030203W
SKINA,524817N,0014623W
SLANY,520931N,0055032W
SLYDA,541204N,0050515W
SMOKI,574637N,0023556W
SOBDO,500426N,0070700W
SOKDU,503939N,0020133W
SOMAX,500000N,0150000W
SOMVA,521826N,0023838E
SONDO,520506N,0014842E
SONEX,532953N,0021021W
SONOG,520620N,0021610E
SOPAX,533849N,0042708W
SOPEK,530632N,0023000E
SOPIT,515730N,0010626W
SOPTO,551820N,0050000E
SOPTU,503554N,0040918W
SOSAR,610000N,0020000W
SOSIM,534856N,0043030W
SOTUN,541036N,0033737E
SOVAT,504646N,0012800E
SOVED,560000N,0140000W
SOXON,585806N,0035222W
SOXUX,503546N,0005545E
SPEAR,513434N,0004201E
STAFA,525141N,0021435W
STIRA,560802N,0035001W
STN,581225N,0061059W
STOAT,520133N,0000115W
STU,515941N,0050225W
SUBIP,502644N,0005306E
SUBUK,542248N,0031711W
SUDBY,551745N,0041606W
SUM,595243N,0011711W
SUMIN,551946N,0040318W
SUMUM,513814N,0020628E
SUNFI,505802N,0035202W
SUNOT,570000N,0150000W
SUNUP,512731N,0015227E
SUPAP,492602N,0054922W
SUPEL,531340N,0003528E
SUPIT,571957N,0070506W
SURAT,555456N,0033000E
SUSIS,553617N,0002102W
SWANY,513334N,0040748W
TABEN,512149N,0011022W
TABIS,520032N,0002644E
TADAL,533514N,0030135W
TADEX,545124N,0081401W
TAKAS,490000N,0080000W
TALGA,515730N,0031444W
TALIG,493059N,0054804W
TAMEL,484343N,0102950W
TANET,512658N,0005532E
TARTN,554302N,0030819W
TEBRA,512920N,0013643E
TEDSA,520303N,0010739E
TELBA,523952N,0021907W
TELTU,504840N,0004518W
TENDO,540144N,0001447E
TENSO,533602N,0021227W
TERKO,513732N,0004448E
TESDO,500726N,0070700W
TEVMO,511025N,0012459E
TEVSI,512101N,0010301W
THRED,502955N,0013950W
TIBGA,522326N,0052705W
TIGER,510402N,0002622E
TIGGY,503701N,0005130W
TILNI,543251N,0015118W
TIMBA,505644N,0001542E
TIMIS,535701N,0043556W
TIMPO,523332N,0010950W
TINAC,561503N,0050000E
TINAN,504000N,0032654W
TINDI,540214N,0031529E
TIPAN,543554N,0042356E
TIPIL,531000N,0014423W
TIPOD,532608N,0031705W
TIPTA,544813N,0013641W
TIR,562936N,0065232W
TIVER,504833N,0032526W
TIXEX,520748N,0010043W
TLA,552957N,0032110W
TNT,530314N,0014012W
TOBID,521300N,0012759W
TOBIX,513617N,0011651E
TOBMO,564538N,0062811W
TOFED,511736N,0021549W
TOLSA,530737N,0030629E
TOPPA,532409N,0033341E
TOPRO,515442N,0031457W
TORGO,530757N,0031559W
TOSVA,514037N,0020426E
TOTRI,514630N,0001148E
TOVGU,514403N,0004538E
TOXTA,551506N,0042705W
TRIPO,514247N,0010458E
TRN,551848N,0044702W
TUBSU,520406N,0014028W
TUFOZ,510101N,0003024W
TUGPO,513710N,0005452E
TULTA,483437N,0080000W
TUMTI,530440N,0013615W
TUNBY,511008N,0001929E
TUNSO,550640N,0045741W
TUPEM,535017N,0032855W
TURLU,500435N,0080000W
TUXOS,555824N,0073135W
TUZLA,522041N,0010012E
UGBET,513701N,0000705W
UGBUD,514714N,0033910W
UGNUS,514232N,0020823W
ULLAP,575400N,0051009W
ULSAX,533554N,0015700W
ULTIB,513936N,0001644W
UMBAG,522052N,0004657E
UMBUR,512733N,0000708E
UMKIL,531106N,0023723W
UMLAT,514020N,0004139W
UMLUX,522237N,0020019W
UMOLO,520803N,0031357W
UMTUM,511227N,0010103E
UNBIG,514427N,0033502W
UNDUG,504724N,0002530E
UNDUX,533830N,0041839W
UNGAP,522129N,0012339W
UNIGO,533340N,0013339W
UNPUP,503224N,0043430W
UNSAD,513340N,0005746E
UNTAL,545435N,0014423W
UNURO,552111N,0032102W
UPDUK,523427N,0005630W
UPGAS,551441N,0050000E
UPGET,563935N,0020050W
UPTON,533513N,0011803W
USEKA,534202N,0002645W
